lemma	bin_tag	mim_tag	freq	rank	ind	pre_kw_orig	kw_orig	post_kw_orig	pre_kw	kw	post_kw	ipa_sd	full_cat	bin_tag_en	tier	verb_1st_pres	verb_2nd_pres	verb_3rd_pres	verb_1st_past	verb_2nd_past	verb_3rd_past	verb_lh_þt	OBEYGJANLEGT	ÞFET	ÞGFET	EFET	NFFT	ÞFFT	ÞGFFT	EFFT	ft	et	ÞF	ÞGF	EF	lo.fst	lo.mst	lo.est	MST	EST	pronounce	manual_en	manual_ukr	full_cat_ukr
ró	kvk	nv	368	3425.5	448379	Farþegar hafi orðið óttaslegnir en þó haldið	ró	sinni.	Farþegar hafi orðið óttaslegnir en þó haldið	ró	sinni.	rouː	Nafnorð	f.	4K									ró	ró	róar															ró.mp3	calm	спокій	іменник
fáni	kk	nk	367	3429.5	7046	Í lokin verður grænum	fánum	stungið niður á Austurvelli við Alþingi.	Í lokin verður grænum	fánum	stungið niður á Austurvelli við Alþingi.	fauːnɪ	Nafnorð	m.	4K									fána	fána	fána	fánar	fána	fánum	fána											fáni.mp3	flag	прапор	іменник
gramm	hk	nh	367	3429.5	1384	Við leitina fundust um 4	grömm	af hassi.	Við leitina fundust um 4	grömm	af hassi.	kram	Nafnorð	n.	4K									gramm	grammi	gramms	grömm	grömm	grömmum	gramma											gramm.mp3	gram	грам	іменник
hross	hk	nh	367	3429.5	1686		Hross	eru sérstaklega viðkvæm fyrir eitruninni.		Hross	eru sérstaklega viðkvæm fyrir eitruninni.	r̥ɔs	Nafnorð	n.	4K									hross	hrossi	hross	hross	hross	hrossum	hrossa											hross.mp3	horse	кінь	іменник
hvarfla	so	s	367	3429.5	421036	Aldrei hafi	hvarflað	að neinum að dæla út úrgangsolíu.	Aldrei hafi	hvarflað	að neinum að dæla út úrgangsolíu.	kʰvartla	Sagnorð	v.	4K	hvarfla	hvarflar	hvarflar	hvarflaði	hvarflaðir	hvarflaði	hvarflað																			hvarfla.mp3	wander	бродити; блукати	дієслово
atvinnurekstur	kk	nk	365	3432.5	86385	Fyrirtæki og einstaklingar í	atvinnurekstri	geta frestað uppgjöri.	Fyrirtæki og einstaklingar í	atvinnurekstri	geta frestað uppgjöri.	aːtvɪnʏrɛkstʏr	Nafnorð	m.	4K									atvinnurekstur	atvinnurekstri	atvinnurekstrar															atvinnurekstur.mp3	business	бізнес	іменник
laginn	lo	l	365	3432.5	165142	Hann er	laginn	í höndunum og útbýr rammana sjálfur úr parkettstöfum.	Hann er	laginn	í höndunum og útbýr rammana sjálfur úr parkettstöfum.	laijɪn	Lýsingarorð	adj.	4K																					laginn  --  lagin -- lagið	lagnari -- lagnari -- lagnara	lagnastur -- lögnust -- lagnast			laginn.mp3	handy	зручний	прикметник
hlýnun	kvk	nv	364	3437	385558	Ef	hlýnunin	verður meiri gæti ástandið hins vegar versnað.	Ef	hlýnunin	verður meiri gæti ástandið hins vegar versnað.	l̥iːnʏn	Nafnorð	f.	4K									hlýnun	hlýnun	hlýnunar															hlýnun.mp3	warming	потепління	іменник
kynhneigð	kvk	nv	364	3437	127872	Hjónaband ætti ekki að snúast um	kynhneigð	, heldur kærleika.	Hjónaband ætti ekki að snúast um	kynhneigð	, heldur kærleika.	cʰɪnn̥eiɣð	Nafnorð	f.	4K									kynhneigð	kynhneigð	kynhneigðar															kynhneigð.mp3	sexuality	сексуальність	іменник
orkuveita	kvk	nv	364	3437	158048	Síðastliðinn föstudag fékk	Orkuveitan	loks grænt ljós frá bankanum.	Síðastliðinn föstudag fékk	Orkuveitan	loks grænt ljós frá bankanum.	ɔr̥kʏveita	Nafnorð	f.	4K									orkuveitu	orkuveitu	orkuveitu	orkuveitur	orkuveitur	orkuveitum	orkuveitna											orkuveita.mp3	power company, energy provider	енергетична компанія; постачальник енергії	іменник
ritari	kk	nk	364	3437	8272		Ritari	landsdóms undirritar svarbréf til fréttastofu.		Ritari	landsdóms undirritar svarbréf til fréttastofu.	rɪːtarɪ	Nafnorð	m.	4K									ritara	ritara	ritara	ritarar	ritara	riturum	ritara											ritari.mp3	secretary	секретар	іменник
skorinn	lo	l	364	3437	165185	Dekk á þremur bílum voru	skorin	og rúða brotin í einum.	Dekk á þremur bílum voru	skorin	og rúða brotin í einum.	skɔːrɪn	Lýsingarorð	adj.	4K																					skorinn  --  skorin -- skorið					skorinn.mp3	cut	порізаний	прикметник
snöggt	ao	a	364	3437	400717	Í kvikmyndaleikstjórn þarf að taka allar ákvarðanir	snöggt	og örugglega.	Í kvikmyndaleikstjórn þarf að taka allar ákvarðanir	snöggt	og örugglega.	stnœxt	Atviksorð	adv.	4K																								sneggra	sneggst	snöggt.mp3	quickly, fast	швидко	прислівник
umræðuefni	hk	nh	364	3437	25051	Evrópumálin eru án efa búin að vera	umræðuefni	á kaffistofum landsins.	Evrópumálin eru án efa búin að vera	umræðuefni	á kaffistofum landsins.	ʏmraiðʏɛpnɪ	Nafnorð	n.	4K									umræðuefni	umræðuefni	umræðuefnis	umræðuefni	umræðuefni	umræðuefnum	umræðuefna											umræðuefni.mp3	topic	тема	іменник
æði	hk	nh	363	3444	4198	Þetta er búið að vera algjört	æði	.	Þetta er búið að vera algjört	æði	.	aiːðɪ	Nafnorð	n.	4K									æði	æði	æðis															æði.mp3	frenzy; fantastic	божевілля; фантастика	іменник
forgangur	kk	nk	363	3444	94925	Það verði sett í	forgang	á næstu mánuðum.	Það verði sett í	forgang	á næstu mánuðum.	fɔrkauŋkʏr	Nafnorð	m.	4K									forgang	forgangi	forgangs	forgangar	forganga	forgöngum	forganga											forgangur.mp3	priority	пріоритет	іменник
gítar	kk	nk	363	3444	5432	Hann segir lítið mál að læra á	gítar	.	Hann segir lítið mál að læra á	gítar	.	ciːtar	Nafnorð	m.	4K									gítar	gítar	gítars	gítarar	gítara	gítörum	gítara											gítar.mp3	guitar	гітара	іменник
heilsufar	hk	nh	363	3444	26611	Þá voru langflestir einnig ánægðir með	heilsufar	sitt.	Þá voru langflestir einnig ánægðir með	heilsufar	sitt.	heilsʏfar	Nafnorð	n.	4K									heilsufar	heilsufari	heilsufars															heilsufar.mp3	health	здоров'я	іменник
húsbóndi	kk	nk	363	3444	114894	Tekjur	húsbóndans	hafa líka minnkað vegna ástandsins.	Tekjur	húsbóndans	hafa líka minnkað vegna ástandsins.	huːspountɪ	Nafnorð	m.	4K									húsbónda	húsbónda	húsbónda	húsbændur	húsbændur	húsbændum	húsbænda											húsbóndi.mp3	master of the house	господар дому	іменник
persónuleiki	kk	nk	363	3444	115044	Björgvin útskýrir að	persónuleikinn	hafi gjörbreyst eftir heilablóðfallið.	Björgvin útskýrir að	persónuleikinn	hafi gjörbreyst eftir heilablóðfallið.	pʰɛr̥sounʏleicɪ	Nafnorð	m.	4K									persónuleika	persónuleika	persónuleika	persónuleikar	persónuleika	persónuleikum	persónuleika											persónuleiki.mp3	personality	особистість; характер	іменник
slagur	kk	nk	363	3444	6814		Slagurinn	við verðbólguna er eilífðarverkefni.		Slagurinn	við verðbólguna er eilífðarverkefni.	stlaːɣʏr	Nafnorð	m.	4K									slag	slag	slags	slagir	slagi	slögum	slaga											slagur.mp3	fight, brawl	боротьба	іменник
brosandi	lo	l	362	3451	390135	Heimamenn mæta því	brosandi	á Þjóðhátíð í ár.	Heimamenn mæta því	brosandi	á Þjóðhátíð í ár.	prɔːsantɪ	Lýsingarorð	adj.	4K																					brosandi  --  brosandi -- brosandi					brosandi.mp3	smiling	посміхатися	прикметник
hrun	hk	nh	362	3451	488620	Þrátt fyrir það varð	hrun	á mörkuðum vestan hafs.	Þrátt fyrir það varð	hrun	á mörkuðum vestan hafs.	r̥ʏːn	Nafnorð	n.	4K									hrun	hruni	hruns	hrun	hrun	hrunum	hruna											hrun.mp3	crash	крах; банкротство	іменник
lamb	hk	nh	362	3451	2212	Hún hefur því borið þrettán	lömbum	á þremur árum.	Hún hefur því borið þrettán	lömbum	á þremur árum.	lamp	Nafnorð	n.	4K									lamb	lambi	lambs	lömb	lömb	lömbum	lamba											lamb.mp3	lamb	ягня	іменник
miðlun	kvk	nv	362	3451	12997		Miðlun	gerði könnunina fyrir Morgunblaðið.		Miðlun	gerði könnunina fyrir Morgunblaðið.	mɪðlʏn	Nafnorð	f.	4K									miðlun	miðlun	miðlunar	miðlanir	miðlanir	miðlunum	miðlana											miðlun.mp3	dissemination, communication	поширення; комунікація	іменник
réttarstaða	kvk	nv	362	3451	486263	Sjóðurinn skoði nú	réttarstöðu	sína vegna málsins.	Sjóðurinn skoði nú	réttarstöðu	sína vegna málsins.	rjɛhtar̥staða	Nafnorð	f.	4K									réttarstöðu	réttarstöðu	réttarstöðu															réttarstaða.mp3	legal status	правовий статус	іменник
slasa	so	s	362	3451	463917	Engin	slasaðist	í þessum umferðaróhöppum samkvæmt upplýsingum frá lögreglu.	Engin	slasaðist	í þessum umferðaróhöppum samkvæmt upplýsingum frá lögreglu.	stlaːsa	Sagnorð	v.	4K	slasa	slasar	slasar	slasaði	slasaðir	slasaði	slasað																			slasa.mp3	injure	травмувати	дієслово
verkefnisstjóri	kk	nk	362	3451	112548		Verkefnisstjóri	hátíðarinnar segir að markmiðið sé að kynna íslenska hönnun.		Verkefnisstjóri	hátíðarinnar segir að markmiðið sé að kynna íslenska hönnun.	vɛr̥kɛpnɪstjourɪ	Nafnorð	m.	4K									verkefnisstjóra	verkefnisstjóra	verkefnisstjóra	verkefnisstjórar	verkefnisstjóra	verkefnisstjórum	verkefnisstjóra											verkefnisstjóri.mp3	project manager	керівник проекту	іменник
dagsetja	so	s	361	3458	476700	Upptakan var ekki	dagsett	.	Upptakan var ekki	dagsett	.	taxsɛtja	Sagnorð	v.	4K	dagset	dagsetur	dagsetur	dagsetti	dagsettir	dagsetti	dagsett																			dagsetja.mp3	date	датувати	дієслово
framtak	hk	nh	361	3458	473492	Og maður er auðvitað afskaplega glaður með þetta ótrúlega	framtak	þitt.	Og maður er auðvitað afskaplega glaður með þetta ótrúlega	framtak	þitt.	framtʰak	Nafnorð	n.	4K									framtak	framtaki	framtaks															framtak.mp3	enterprise, initiative	підприємливість; ініціативність	іменник
fyrirhuga	so	s	361	3458	420265		Fyrirhugað	er að breytingin taki gildi um mitt ár 2018.		Fyrirhugað	er að breytingin taki gildi um mitt ár 2018.	fɪːrɪr̥hʏɣa	Sagnorð	v.	4K	fyrirhuga	fyrirhugar	fyrirhugar	fyrirhugaði	fyrirhugaðir	fyrirhugaði	fyrirhugað																			fyrirhuga.mp3	plan, propose	планувати; пропонувати	дієслово
jurt	kvk	nv	361	3458	10481	Vísindamenn kanna nú áhrif fjölda íslenskra	jurta	.	Vísindamenn kanna nú áhrif fjölda íslenskra	jurta	.	jʏr̥t	Nafnorð	f.	4K									jurt	jurt	jurtar	jurtir	jurtir	jurtum	jurta											jurt.mp3	plant, herb	рослина; трава	іменник
málsástæða	kvk	nv	361	3458	469489	Í þessu máli er byggt á tveimur	málsástæðum	.	Í þessu máli er byggt á tveimur	málsástæðum	.	maulsaustaiða	Nafnorð	f.	4K									málsástæðu	málsástæðu	málsástæðu	málsástæður	málsástæður	málsástæðum	málsástæðna											málsástæða.mp3	cause of action	підстава; причина	іменник
starfrækja	so	s	361	3458	435382	Fiskvinnslan verður áfram	starfrækt	í Hafnarfirði og kappkostað að verja störf.	Fiskvinnslan verður áfram	starfrækt	í Hafnarfirði og kappkostað að verja störf.	starvraica	Sagnorð	v.	4K	starfræki	starfrækir	starfrækir	starfrækti	starfræktir	starfrækti	starfrækt																			starfrækja.mp3	operate, manage	керувати; управляти	дієслово
vinnustofa	kvk	nv	361	3458	144707		Vinnustofan	er í bílskúrnum.		Vinnustofan	er í bílskúrnum.	vɪnʏstɔva	Nafnorð	f.	4K									vinnustofu	vinnustofu	vinnustofu	vinnustofur	vinnustofur	vinnustofum	vinnustofa											vinnustofa.mp3	studio, workshop	студія; майстерня	іменник
arfur	kk	nk	360	3465.5	6334	Ekki er vitað hvort hún hafi gert tilkall til	arfsins	.	Ekki er vitað hvort hún hafi gert tilkall til	arfsins	.	arvʏr	Nafnorð	m.	4K									arf	arfi	arfs															arfur.mp3	inheritance	спадщина	іменник
hóta	so	s	360	3465.5	420915	Hann	hótaði	lögreglumönnum einnig ítrekað.	Hann	hótaði	lögreglumönnum einnig ítrekað.	houːta	Sagnorð	v.	4K	hóta	hótar	hótar	hótaði	hótaðir	hótaði	hótað																			hóta.mp3	threaten	погрожувати	дієслово
innkaup	hk	nh	360	3465.5	467658	Auk þess eru þeir dýrari í	innkaupum	en bensínbílar.	Auk þess eru þeir dýrari í	innkaupum	en bensínbílar.	ɪnkʰœip	Nafnorð	n.	4K												innkaup	innkaup	innkaupum	innkaupa											innkaup.mp3	shopping, purchase	придбання; покупка	іменник
kolvetni	hk	nh	360	3465.5	71222	Ég borða prótein og	kolvetni	og fitu í hverri einustu máltið.	Ég borða prótein og	kolvetni	og fitu í hverri einustu máltið.	kʰɔlvɛhtnɪ	Nafnorð	n.	4K									kolvetni	kolvetni	kolvetnis	kolvetni	kolvetni	kolvetnum	kolvetna											kolvetni.mp3	carbohydrate	вуглевод	іменник
nítjándi	rt	l	360	3465.5	403851	Ísland er í	nítjánda	sæti.	Ísland er í	nítjánda	sæti.	niːtjauntɪ	Töluorð	num.	4K																nítjándu -- nítjándu -- nítjándu	nítjándi  --  nítjánda -- nítjánda									nítjándi.mp3	nineteenth	дев'ятнадцять	чисельник
ofarlega	ao	a	360	3465.5	497582	Athygli vekur að enginn núverandi bæjarfulltrúa flokksins er	ofarlega	á listanum.	Athygli vekur að enginn núverandi bæjarfulltrúa flokksins er	ofarlega	á listanum.	ɔːvarlɛɣa	Atviksorð	adv.	4K								ofarlega																		ofarlega.mp3	high up	високо	прислівник
sextán	to	t	360	3465.5	495431	En keppendur eru allt frá fjögurra ára til	sextán	ára.	En keppendur eru allt frá fjögurra ára til	sextán	ára.	sɛkstaun	Töluorð	num.	4K								sextán																		sextán.mp3	sixteen	шістнадцять	чисельник
sjónvarpsþáttur	kk	nk	360	3465.5	85609	Þá er lónið vinsælt svið fyrir	sjónvarpsþætti	og auglýsingar.	Þá er lónið vinsælt svið fyrir	sjónvarpsþætti	og auglýsingar.	sjounvar̥psθauhtʏr	Nafnorð	m.	4K									sjónvarpsþátt	sjónvarpsþætti	sjónvarpsþáttar	sjónvarpsþættir	sjónvarpsþætti	sjónvarpsþáttum	sjónvarpsþátta											sjónvarpsþáttur.mp3	TV show	телешоу	іменник
klappa	so	s	359	3473.5	421353	Það var	klappað	hressilega fyrir öllum frambjóðendunum og ræðum þeirra.	Það var	klappað	hressilega fyrir öllum frambjóðendunum og ræðum þeirra.	kʰlahpa	Sagnorð	v.	4K	klappa	klappar	klappar	klappaði	klappaðir	klappaði	klappað																			klappa.mp3	clap	аплодувати	дієслово
lærdómur	kk	nk	359	3473.5	430930	Þá sé mikilvægt að draga	lærdóm	af málinu.	Þá sé mikilvægt að draga	lærdóm	af málinu.	lairtoumʏr	Nafnorð	m.	4K									lærdóm	lærdómi	lærdóms	lærdómar	lærdóma	lærdómum	lærdóma											lærdómur.mp3	learning, lesson	навчання; урок	іменник
nærvera	kvk	nv	359	3473.5	147787	Hún segist finna mikið fyrir	nærveru	hennar á hverjum einasta degi.	Hún segist finna mikið fyrir	nærveru	hennar á hverjum einasta degi.	nairvɛra	Nafnorð	f.	4K									nærveru	nærveru	nærveru															nærvera.mp3	presence	присутність	іменник
norðanverður	lo	l	359	3473.5	413375	Áfram er viðbúnaðarstig vegna snjóflóðahættu á	norðanverðum	Vestfjörðum almennt.	Áfram er viðbúnaðarstig vegna snjóflóðahættu á	norðanverðum	Vestfjörðum almennt.	nɔrðanvɛrðʏr	Lýsingarorð	adj.	4K																					norðanverður  --  norðanverð -- norðanvert					norðanverður.mp3	north side	північна сторона	прикметник
skilvirkur	lo	l	359	3473.5	181099	Öll vinna verði	skilvirkari	.	Öll vinna verði	skilvirkari	.	scɪlvɪr̥kʏr	Lýsingarorð	adj.	4K																					skilvirkur  --  skilvirk -- skilvirkt	skilvirkari -- skilvirkari -- skilvirkara	skilvirkastur -- skilvirkust -- skilvirkast			skilvirkur.mp3	efficient	ефективний	прикметник
skrifstofustjóri	kk	nk	359	3473.5	112497		Skrifstofustjóri	Þjóðskrár baðst undan viðtali um málið í gær.		Skrifstofustjóri	Þjóðskrár baðst undan viðtali um málið í gær.	skrɪfstɔvʏstjourɪ	Nafnorð	m.	4K									skrifstofustjóra	skrifstofustjóra	skrifstofustjóra	skrifstofustjórar	skrifstofustjóra	skrifstofustjórum	skrifstofustjóra											skrifstofustjóri.mp3	office manager	офіс-менеджер	іменник
veifa	so	s	359	3473.5	424194	Ekki liggur fyrir hvort að honum var	veifað	í átökunum.	Ekki liggur fyrir hvort að honum var	veifað	í átökunum.	veiːva	Sagnorð	v.	4K	veifa	veifar	veifar	veifaði	veifaðir	veifaði	veifað																			veifa.mp3	wave	махати	дієслово
yfirsýn	kvk	nv	359	3473.5	125752	Ómögulegt virðist því að fá	yfirsýn	yfir umfang vandamálsins.	Ómögulegt virðist því að fá	yfirsýn	yfir umfang vandamálsins.	ɪːvɪr̥sin	Nafnorð	f.	4K									yfirsýn	yfirsýn	yfirsýnar															yfirsýn.mp3	overview	огляд	іменник
skírteini	hk	nh	358	3478	3213	Þetta má leysa með útgáfu	skírteinis	á grundvelli lögheimilisskráningar.	Þetta má leysa með útgáfu	skírteinis	á grundvelli lögheimilisskráningar.	scir̥teinɪ	Nafnorð	n.	4K									skírteini	skírteini	skírteinis	skírteini	skírteini	skírteinum	skírteina											skírteini.mp3	license	ліцензія	іменник
at	hk	nh	357	3482	449		Atið	var sýnt í beinni útsendingu í sjónvarpi.		Atið	var sýnt í beinni útsendingu í sjónvarpi.	aːt	Nafnorð	n.	4K									at	ati	ats	öt	öt	ötum	ata											at.mp3	fight, battle	бізнес	іменник
kraftmikill	lo	l	357	3482	171592	Gosið virðist álíka	kraftmikið	og það var orðið síðdegis í gær.	Gosið virðist álíka	kraftmikið	og það var orðið síðdegis í gær.	kʰraftmɪcɪtl̥	Lýsingarorð	adj.	4K																					kraftmikill  --  kraftmikil -- kraftmikið	kraftmeiri -- kraftmeiri -- kraftmeira	kraftmestur -- kraftmest -- kraftmest			kraftmikill.mp3	powerful	потужний	прикметник
samfélagslegur	lo	l	357	3482	391712	Það skapi stórt	samfélagslegt	og pólitískt vandamál.	Það skapi stórt	samfélagslegt	og pólitískt vandamál.	samfjɛlaxstlɛɣʏr	Lýsingarorð	adj.	4K																					samfélagslegur  --  samfélagsleg -- samfélagslegt	samfélagslegri -- samfélagslegri -- samfélagslegra	samfélagslegastur -- samfélagslegust -- samfélagslegast			samfélagslegur.mp3	communal; sociological	соціальний; комунальний	прикметник
sjálfstraust	hk	nh	357	3482	475834	Tuttugu prósent viðmælenda höfðu ekki gott	sjálfstraust	að eigin mati.	Tuttugu prósent viðmælenda höfðu ekki gott	sjálfstraust	að eigin mati.	sjaulfstʰrœist	Nafnorð	n.	4K									sjálfstraust	sjálfstrausti	sjálfstrausts															sjálfstraust.mp3	self-confidence; assurance	впевненість	іменник
slakur	lo	l	357	3482	409107	Hagvaxtarhorfur eru þó nokkuð	slakari	fyrir næstu tvö ár.	Hagvaxtarhorfur eru þó nokkuð	slakari	fyrir næstu tvö ár.	stlaːkʏr	Lýsingarorð	adj.	4K																					slakur  --  slök -- slakt	slakari -- slakari -- slakara	slakastur -- slökust -- slakast			slakur.mp3	relaxed; weak	розслаблений; слабкий	прикметник
snúningur	kk	nk	357	3482	6654	Annar	snúningur	verður svo tekinn með sumrinu.	Annar	snúningur	verður svo tekinn með sumrinu.	stnuːniŋkʏr	Nafnorð	m.	4K									snúning	snúningi	snúnings	snúningar	snúninga	snúningum	snúninga											snúningur.mp3	rotation, conversion	ротація; конвертація	іменник
streita	kvk	nv	357	3482	15405	Hann segir óskiljanlegt að fyrirtækið haldi kröfunni til	streitu	.	Hann segir óskiljanlegt að fyrirtækið haldi kröfunni til	streitu	.	streiːta	Nafnorð	f.	4K									streitu	streitu	streitu															streita.mp3	stress	стрес	іменник
fjármálafyrirtæki	hk	nh	356	3489.5	29993	Það felur í sér hertar reglur um starfsemi	fjármálafyrirtækja	.	Það felur í sér hertar reglur um starfsemi	fjármálafyrirtækja	.	fjaurmaulafɪrɪr̥tʰaicɪ	Nafnorð	n.	4K									fjármálafyrirtæki	fjármálafyrirtæki	fjármálafyrirtækis	fjármálafyrirtæki	fjármálafyrirtæki	fjármálafyrirtækjum	fjármálafyrirtækja											fjármálafyrirtæki.mp3	financial company	фінансова компанія	іменник
fyrirliggjandi	lo	l	356	3489.5	170534	Fólk hefur einnig áhyggjur af því hvort	fyrirliggjandi	upplýsingar séu marktækar.	Fólk hefur einnig áhyggjur af því hvort	fyrirliggjandi	upplýsingar séu marktækar.	fɪːrɪrlɪcantɪ	Lýsingarorð	adj.	4K																					fyrirliggjandi  --  fyrirliggjandi -- fyrirliggjandi					fyrirliggjandi.mp3	available, on hand	доступний; під рукою	прикметник
fyrradagur	kk	nk	356	3489.5	403709	Sjávarútvegsráðuneytið stöðvaði loks veiðarnar í	fyrradag	.	Sjávarútvegsráðuneytið stöðvaði loks veiðarnar í	fyrradag	.	fɪrataɣʏr	Nafnorð	m.	4K									fyrradag	fyrradegi	fyrradags															fyrradagur.mp3	the day before yesterday	позавчора	іменник
lengja	so	s	356	3489.5	435025	Biðlistar munu því	lengjast	mikið og starfsemi skerðast.	Biðlistar munu því	lengjast	mikið og starfsemi skerðast.	leiɲca	Sagnorð	v.	4K	lengi	lengir	lengir	lengdi	lengdir	lengdi	lengt																			lengja.mp3	lengthen, extend	подовжувати; розширити	дієслово
spyrjandi	ao	a	356	3489.5	495766	Í fyrsta lagi eru menn mjög leitandi og	spyrjandi	.	Í fyrsta lagi eru menn mjög leitandi og	spyrjandi	.	spɪrjantɪ	Atviksorð	adv.	4K								spyrjandi																		spyrjandi.mp3	questioner, interviewer	запитувач; інтерв’юер	прислівник
stolinn	lo	l	356	3489.5	391949		Stolinn	bíll stóð fyrir utan.		Stolinn	bíll stóð fyrir utan.	stɔːlɪn	Lýsingarorð	adj.	4K																					stolinn  --  stolin -- stolið					stolinn.mp3	stolen	вкрадений	прикметник
uppfylltur	lo	l	356	3489.5	176620	Fyrirtæki og einstaklingar geta orðið styrktaraðilar sjóðsins að	uppfylltum	ákveðnum skilyrðum.	Fyrirtæki og einstaklingar geta orðið styrktaraðilar sjóðsins að	uppfylltum	ákveðnum skilyrðum.	ʏhpfɪl̥tʏr	Lýsingarorð	adj.	4K																					uppfylltur  --  uppfyllt -- uppfyllt					uppfylltur.mp3	fulfilled	виконаний; здійснений	прикметник
þyrla	kvk	nv	356	3489.5	16445	Þá var hann fluttur á sjúkrahús með	þyrlu	.	Þá var hann fluttur á sjúkrahús með	þyrlu	.	θɪrtla	Nafnorð	f.	4K									þyrlu	þyrlu	þyrlu	þyrlur	þyrlur	þyrlum	þyrlna											þyrla.mp3	helicopter	гелікоптер	іменник
brekka	kvk	nv	355	3496	458100	Lögregla og björgunarsveitarmenn sóttu hann í	brekkuna	og fluttu á sjúkrahúsið.	Lögregla og björgunarsveitarmenn sóttu hann í	brekkuna	og fluttu á sjúkrahúsið.	prɛhka	Nafnorð	f.	4K									brekku	brekku	brekku	brekkur	brekkur	brekkum	brekkna											brekka.mp3	slope	схил	іменник
klósett	hk	nh	355	3496	2011	Ég var á leiðinni á	klósettið	.	Ég var á leiðinni á	klósettið	.	kʰlouːsɛht	Nafnorð	n.	4K									klósett	klósetti	klósetts	klósett	klósett	klósettum	klósetta											klósett.mp3	toilet	туалет	іменник
nálægð	kvk	nv	355	3496	128154		Nálægð	skjálftanna við Húsavík veldur vísindamönnum nokkrum áhyggjum.		Nálægð	skjálftanna við Húsavík veldur vísindamönnum nokkrum áhyggjum.	nauːlaiɣð	Nafnorð	f.	4K									nálægð	nálægð	nálægðar															nálægð.mp3	nearness; proximity, presence	близкість; присутність	іменник
spá	kvk	nv	355	3496	12292	Ég vil hins vegar alls ekkert	spá	því að krónan veikist.	Ég vil hins vegar alls ekkert	spá	því að krónan veikist.	spauː	Nafnorð	f.	4K									spá	spá	spár	spár	spár	spám	spáa											spá.mp3	forecast	прогноз	іменник
tíðum	ao	a	355	3496	495801	Þeir hittu hann	tíðum	á kaffihúsi sem þeir sóttu.	Þeir hittu hann	tíðum	á kaffihúsi sem þeir sóttu.	tʰiːðʏm	Atviksorð	adv.	4K								tíðum																		tíðum.mp3	often	часто	прислівник
óljóst	ao	a	354	3500	402601		Óljóst	hvenær hægt er að koma rafmagni á bæi.		Óljóst	hvenær hægt er að koma rafmagni á bæi.	ouːljoust	Atviksorð	adv.	4K																								óljósar	óljósast	óljóst.mp3	unclear	незрозуміло	прислівник
rökstyðja	so	s	354	3500	488192	Dómari hefur	rökstutt	sína niðurstöðu mjög vel , ítarlega.	Dómari hefur	rökstutt	sína niðurstöðu mjög vel , ítarlega.	rœːkstɪðja	Sagnorð	v.	4K	rökstyð	rökstyður	rökstyður	rökstuddi	rökstuddir	rökstuddi	rökstutt																			rökstyðja.mp3	justify, reason	обґрунтовувати; аргументувати	дієслово
skólaganga	kvk	nv	354	3500	458945	Um 4 þúsund börn eru að hefja sína	skólagöngu	þessa vikuna.	Um 4 þúsund börn eru að hefja sína	skólagöngu	þessa vikuna.	skouːlakauŋka	Nafnorð	f.	4K									skólagöngu	skólagöngu	skólagöngu															skólaganga.mp3	schooling, school attendance	навчання	іменник
löglegur	lo	l	353	3503	391164	Samkvæmt gildandi reglum er	löglegt	að auglýsa þjónustuna með þessum hætti.	Samkvæmt gildandi reglum er	löglegt	að auglýsa þjónustuna með þessum hætti.	lœɣlɛɣʏr	Lýsingarorð	adj.	4K																					löglegur  --  lögleg -- löglegt	löglegri -- löglegri -- löglegra	löglegastur -- löglegust -- löglegast			löglegur.mp3	legal	законний	прикметник
sagnfræði	kvk	nv	353	3503	130515	Þetta segir doktor í	sagnfræði	.	Þetta segir doktor í	sagnfræði	.	sakn̥fraiðɪ	Nafnorð	f.	4K									sagnfræði	sagnfræði	sagnfræði															sagnfræði.mp3	history	історія	іменник
vottorð	hk	nh	353	3503	429169	Hann neitaði henni um	vottorðið	þar sem hún væri fullfrísk.	Hann neitaði henni um	vottorðið	þar sem hún væri fullfrísk.	vɔhtɔrð	Nafnorð	n.	4K									vottorð	vottorði	vottorðs	vottorð	vottorð	vottorðum	vottorða											vottorð.mp3	certificate	сертифікат; довідка	іменник
anddyri	hk	nh	352	3507	24057	Afhendingin fer fram í	anddyri	ráðhúss Reykjavíkur nú í hádeginu.	Afhendingin fer fram í	anddyri	ráðhúss Reykjavíkur nú í hádeginu.	antɪrɪ	Nafnorð	n.	4K									anddyri	anddyri	anddyris	anddyri	anddyri	anddyrum	anddyra											anddyri.mp3	lobby	хол; фойє	іменник
heiður	lo	l	352	3507	477342	Vonandi verður	heiður	himinn svo við getum séð hann.	Vonandi verður	heiður	himinn svo við getum séð hann.	heiːðʏr	Lýsingarorð	adj.	4K																					heiður  --  heið	heiðari -- heiðari -- heiðara	heiðastur -- heiðust -- heiðast			heiður.mp3	honor	безхмарно; ясно	прикметник
markaðsmál	hk	nh	352	3507	49084	Stórar pantanir berast og hann hefur engar áhyggjur af	markaðsmálum	.	Stórar pantanir berast og hann hefur engar áhyggjur af	markaðsmálum	.	mar̥kaðsmaul	Nafnorð	n.	4K									markaðsmál	markaðsmáli	markaðsmáls	markaðsmál	markaðsmál	markaðsmálum	markaðsmála											markaðsmál.mp3	marketing	маркетинг	іменник
